page_id,title,url,breadcrumb_html
india1,India Information Portal,/india,"<a href=""https://www.india.co.in/india"">India</a>"
india2,🏠︎,/india,"<a href=""https://www.india.co.in/india"">India</a>"
info1,About India,/info/about-india,"<span class=""crumb"">Info</span> &gt; <a href=""https://www.india.co.in/info/about-india"">About india</a>"
info2,About Us,/info/about-us,"<span class=""crumb"">Info</span> &gt; <a href=""https://www.india.co.in/info/about-us"">About us</a>"
info3,Privacy Policy,/info/about-us/privacy-policy,"<span class=""crumb"">Info</span> &gt; <a href=""https://www.india.co.in/info/about-us"">About us</a> &gt; <a href=""https://www.india.co.in/info/about-us/privacy-policy"">Privacy policy</a>"
info4,Feedback,/info/about-us/feedback,"<span class=""crumb"">Info</span> &gt; <a href=""https://www.india.co.in/info/about-us"">About us</a> &gt; <a href=""https://www.india.co.in/info/about-us/feedback"">Feedback</a>"
legacy1,History,/legacy/history,"<span class=""crumb"">Legacy</span> &gt; <a href=""https://www.india.co.in/legacy/history"">History</a>"
legacy2,Pre-Historic India,/legacy/pre-historic-india,"<span class=""crumb"">Legacy</span> &gt; <a href=""https://www.india.co.in/legacy/pre-historic-india"">Pre historic india</a>"
legacy3,Vedic Period,/legacy/vedic-period,"<span class=""crumb"">Legacy</span> &gt; <a href=""https://www.india.co.in/legacy/vedic-period"">Vedic period</a>"
legacy4,Social Life In Vedic Period,/legacy/vedic-period/social-life-in-vedic-period,"<span class=""crumb"">Legacy</span> &gt; <a href=""https://www.india.co.in/legacy/vedic-period"">Vedic period</a> &gt; <a href=""https://www.india.co.in/legacy/vedic-period/social-life-in-vedic-period"">Social life in vedic period</a>"
legacy5,Puranas,/legacy/vedic-period/puranas,"<span class=""crumb"">Legacy</span> &gt; <a href=""https://www.india.co.in/legacy/vedic-period"">Vedic period</a> &gt; <a href=""https://www.india.co.in/legacy/vedic-period/puranas"">Puranas</a>"
legacy6,Asoka: From Greek's Perspective,/legacy/asoka-from-greeks-perspective,"<span class=""crumb"">Legacy</span> &gt; <a href=""https://www.india.co.in/legacy/asoka-from-greeks-perspective"">Asoka from greeks perspective</a>"
legacy7,Alexander the Great in India,/legacy/alexander-the-great-in-india,"<span class=""crumb"">Legacy</span> &gt; <a href=""https://www.india.co.in/legacy/alexander-the-great-in-india"">Alexander the great in india</a>"
legacy8,India Map - Historical,/legacy/maps/india-map-historical,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-historical"">India map historical</a>"
legacy9,India Map - 1400s,/legacy/maps/india-map-1400s,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-1400s"">India map 1400s</a>"
legacy10,India Map - 1500s,/legacy/maps/india-map-1500s,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-1500s"">India map 1500s</a>"
legacy11,India Map - 1600s,/legacy/maps/india-map-1600s,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-1600s"">India map 1600s</a>"
legacy12,India Map - 1700s,/legacy/maps/india-map-1700s,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-1700s"">India map 1700s</a>"
legacy13,India Map - 1800s,/legacy/maps/india-map-1800s,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-1800s"">India map 1800s</a>"
legacy14,India Map - 1900s,/legacy/maps/india-map-1900s,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-1900s"">India map 1900s</a>"
legacy15,India Map - 2000s,/legacy/maps/india-map-2000s,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-2000s"">India map 2000s</a>"
legacy16,India Map - Satellite Images,/legacy/maps/india-map-satellite-images,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-satellite-images"">India map satellite images</a>"
legacy17,India Map - Geological,/legacy/maps/india-map-geological,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/india-map-geological"">India map geological</a>"
legacy18,Pin Code Map of India,/legacy/maps/pin-code-map-of-india,"<span class=""crumb"">Legacy</span> &gt; <span class=""crumb"">Maps</span> &gt; <a href=""https://www.india.co.in/legacy/maps/pin-code-map-of-india"">Pin code map of india</a>"
heritage1,Ayurveda - Introduction,/heritage/ayurveda/ayurveda-introduction,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Ayurveda</span> &gt; <a href=""https://www.india.co.in/heritage/ayurveda/ayurveda-introduction"">Ayurveda introduction</a>"
heritage2,Ayurveda - Doshas,/heritage/ayurveda/ayurveda-doshas,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Ayurveda</span> &gt; <a href=""https://www.india.co.in/heritage/ayurveda/ayurveda-doshas"">Ayurveda doshas</a>"
heritage3,Ayurveda - Traditional Home Remedies,/heritage/ayurveda/ayurveda-traditional-home-remedies,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Ayurveda</span> &gt; <a href=""https://www.india.co.in/heritage/ayurveda/ayurveda-traditional-home-remedies"">Ayurveda traditional home remedies</a>"
heritage4,Ayurveda As A Career In India,/heritage/ayurveda/ayurveda-as-a-career-in-india,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Ayurveda</span> &gt; <a href=""https://www.india.co.in/heritage/ayurveda/ayurveda-as-a-career-in-india"">Ayurveda as a career in india</a>"
heritage5,Ayush - Traditional Health Systems in India,/heritage/health/ayush-traditional-health-systems-in-india,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Health</span> &gt; <a href=""https://www.india.co.in/heritage/health/ayush-traditional-health-systems-in-india"">Ayush traditional health systems in india</a>"
heritage6,Naturopathy in India,/heritage/health/naturopathy-in-india,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Health</span> &gt; <a href=""https://www.india.co.in/heritage/health/naturopathy-in-india"">Naturopathy in india</a>"
heritage7,Unani Medicine in India,/heritage/health/unani-medicine-in-india,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Health</span> &gt; <a href=""https://www.india.co.in/heritage/health/unani-medicine-in-india"">Unani medicine in india</a>"
heritage8,Siddha Health System in India,/heritage/health/siddha-health-system-in-india,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Health</span> &gt; <a href=""https://www.india.co.in/heritage/health/siddha-health-system-in-india"">Siddha health system in india</a>"
heritage9,Medical Tourism In India,/heritage/health/medical-tourism-in-india,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Health</span> &gt; <a href=""https://www.india.co.in/heritage/health/medical-tourism-in-india"">Medical tourism in india</a>"
heritage10,Yoga - Introduction,/heritage/yoga/yoga-introduction/yoga-introduction,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/yoga-introduction"">Yoga introduction</a>"
heritage11,The Origins of Yoga,/heritage/yoga/yoga-introduction/the-origins-of-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/the-origins-of-yoga"">The origins of yoga</a>"
heritage12,History of Yoga,/heritage/yoga/yoga-introduction/history-of-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/history-of-yoga"">History of yoga</a>"
heritage13,Fundamentals of Yoga,/heritage/yoga/yoga-introduction/fundamentals-of-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/fundamentals-of-yoga"">Fundamentals of yoga</a>"
heritage14,The Celestial Art of Yoga,/heritage/yoga/yoga-introduction/the-celestial-art-of-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/the-celestial-art-of-yoga"">The celestial art of yoga</a>"
heritage15,Forms of Yoga,/heritage/yoga/yoga-introduction/forms-of-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/forms-of-yoga"">Forms of yoga</a>"
heritage16,The Increasing Global Relevance Of Yoga,/heritage/yoga/yoga-introduction/the-increasing-global-relevance-of-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/the-increasing-global-relevance-of-yoga"">The increasing global relevance of yoga</a>"
heritage17,International Day of Yoga,/heritage/yoga/yoga-introduction/international-day-of-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/international-day-of-yoga"">International day of yoga</a>"
heritage18,4 Myths about Yoga – Busted!,/heritage/yoga/yoga-introduction/4-myths-about-yoga-busted,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga introduction</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-introduction/4-myths-about-yoga-busted"">4 myths about yoga busted</a>"
heritage19,🧘 Yoga Hello World,/heritage/yoga/yoga-how-to-start/yoga-hello-world,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga how to start</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-how-to-start/yoga-hello-world"">Yoga hello world</a>"
heritage20,What Kind of Clothes Should You Wear For Yoga?,/heritage/yoga/yoga-how-to-start/what-kind-of-clothes-should-you-wear-for-yoga,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga how to start</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-how-to-start/what-kind-of-clothes-should-you-wear-for-yoga"">What kind of clothes should you wear for yoga</a>"
heritage21,What Is a Yogic Diet?,/heritage/yoga/yoga-how-to-start/what-is-a-yogic-diet,"<span class=""crumb"">Heritage</span> &gt; <span class=""crumb"">Yoga</span> &gt; <span class=""crumb"">Yoga how to start</span> &gt; <a href=""https://www.india.co.in/heritage/yoga/yoga-how-to-start/what-is-a-yogic-diet"">What is a yogic diet</a>"
